취득원인 ,취득시 종류,양도시 종류,순번
매매,주택,주택(주거용 오피스텔 포함),1
매매,주택,조합원 입주권,입력불가
매매,주택,분양권(2021년 이전 취득),입력불가
매매,주택,분양권(2022년 이후 취득),입력불가
매매,재건축전 주택,주택(주거용 오피스텔 포함),1
매매,재건축전 주택,조합원 입주권,1
매매,재건축전 주택,분양권(2021년 이전 취득),입력불가
매매,재건축전 주택,분양권(2022년 이후 취득),입력불가
매매,주거용 오피스텔,주택(주거용 오피스텔 포함),1
매매,주거용 오피스텔,조합원 입주권,입력불가
매매,주거용 오피스텔,분양권(2021년 이전 취득),입력불가
매매,주거용 오피스텔,분양권(2022년 이후 취득),입력불가
매매,조합원 입주권,주택(주거용 오피스텔 포함),1
매매,조합원 입주권,조합원 입주권,1
매매,조합원 입주권,분양권(2021년 이전 취득),입력불가
매매,조합원 입주권,분양권(2022년 이후 취득),입력불가
매매,분양권(2021년 이전 취득),주택(주거용 오피스텔 포함),1
매매,분양권(2021년 이전 취득),조합원 입주권,1
매매,분양권(2021년 이전 취득),분양권(2021년 이전 취득),1
매매,분양권(2021년 이전 취득),분양권(2022년 이후 취득),입력불가
매매,분양권(2022년 이후 취득),주택(주거용 오피스텔 포함),1
매매,분양권(2022년 이후 취득),조합원 입주권,1
매매,분양권(2022년 이후 취득),분양권(2021년 이전 취득),입력불가
매매,분양권(2022년 이후 취득),분양권(2022년 이후 취득),1
증여,주택,주택(주거용 오피스텔 포함),1
증여,주택,조합원 입주권,입력불가
증여,주택,분양권(2021년 이전 취득),입력불가
증여,주택,분양권(2022년 이후 취득),입력불가
증여,재건축전 주택,주택(주거용 오피스텔 포함),1
증여,재건축전 주택,조합원 입주권,1
증여,재건축전 주택,분양권(2021년 이전 취득),입력불가
증여,재건축전 주택,분양권(2022년 이후 취득),입력불가
증여,주거용 오피스텔,주택(주거용 오피스텔 포함),1
증여,주거용 오피스텔,조합원 입주권,입력불가
증여,주거용 오피스텔,분양권(2021년 이전 취득),입력불가
증여,주거용 오피스텔,분양권(2022년 이후 취득),입력불가
증여,조합원 입주권,주택(주거용 오피스텔 포함),1
증여,조합원 입주권,조합원 입주권,1
증여,조합원 입주권,분양권(2021년 이전 취득),입력불가
증여,조합원 입주권,분양권(2022년 이후 취득),입력불가
증여,분양권(2021년 이전 취득),주택(주거용 오피스텔 포함),1
증여,분양권(2021년 이전 취득),조합원 입주권,1
증여,분양권(2021년 이전 취득),분양권(2021년 이전 취득),1
증여,분양권(2021년 이전 취득),분양권(2022년 이후 취득),입력불가
증여,분양권(2022년 이후 취득),주택(주거용 오피스텔 포함),1
증여,분양권(2022년 이후 취득),조합원 입주권,1
증여,분양권(2022년 이후 취득),분양권(2021년 이전 취득),입력불가
증여,분양권(2022년 이후 취득),분양권(2022년 이후 취득),1
상속,주택,주택(주거용 오피스텔 포함),1
상속,주택,조합원 입주권,입력불가
상속,주택,분양권(2021년 이전 취득),입력불가
상속,주택,분양권(2022년 이후 취득),입력불가
상속,재건축전 주택,주택(주거용 오피스텔 포함),1
상속,재건축전 주택,조합원 입주권,1
상속,재건축전 주택,분양권(2021년 이전 취득),입력불가
상속,재건축전 주택,분양권(2022년 이후 취득),입력불가
상속,주거용 오피스텔,주택(주거용 오피스텔 포함),1
상속,주거용 오피스텔,조합원 입주권,입력불가
상속,주거용 오피스텔,분양권(2021년 이전 취득),입력불가
상속,주거용 오피스텔,분양권(2022년 이후 취득),입력불가
상속,조합원 입주권,주택(주거용 오피스텔 포함),1
상속,조합원 입주권,조합원 입주권,1
상속,조합원 입주권,분양권(2021년 이전 취득),입력불가
상속,조합원 입주권,분양권(2022년 이후 취득),입력불가
상속,분양권(2021년 이전 취득),주택(주거용 오피스텔 포함),1
상속,분양권(2021년 이전 취득),조합원 입주권,1
상속,분양권(2021년 이전 취득),분양권(2021년 이전 취득),1
상속,분양권(2021년 이전 취득),분양권(2022년 이후 취득),입력불가
상속,분양권(2022년 이후 취득),주택(주거용 오피스텔 포함),1
상속,분양권(2022년 이후 취득),조합원 입주권,1
상속,분양권(2022년 이후 취득),분양권(2021년 이전 취득),입력불가
상속,분양권(2022년 이후 취득),분양권(2022년 이후 취득),1
자가신축,주택,주택(주거용 오피스텔 포함),1
