양도시 종류,취득원인 ,취득시 종류,순번,입력,조건,추가 선택,비고
분양권(2021년 이전 취득),매매,분양권(2021년 이전 취득),1,분양권 잔금청산일,0,승계 분양권,취득일
분양권(2021년 이전 취득),매매,분양권(2021년 이전 취득),1,분양권 당첨일,0,최초당첨 분양권,취득일
분양권(2021년 이전 취득),매매,분양권(2022년 이후 취득),입력불가,,0,,
분양권(2021년 이전 취득),매매,재건축전 주택,입력불가,,0,,
분양권(2021년 이전 취득),매매,조합원 입주권,입력불가,,0,,
분양권(2021년 이전 취득),매매,주거용 오피스텔,입력불가,,0,,
분양권(2021년 이전 취득),매매,주택,입력불가,,0,,
분양권(2021년 이전 취득),상속,분양권(2021년 이전 취득),1,상속개시일(승계분양권),0,승계분양권,취득일
분양권(2021년 이전 취득),상속,분양권(2021년 이전 취득),2,분양권 잔금청산일,1,상속개시일 ~ 양도예정일 기간이 2년미만일때만(731일 이하),
분양권(2021년 이전 취득),상속,분양권(2021년 이전 취득),3,상속개시일(최초당첨 분양권),0,최초당첨 분양권,취득일
분양권(2021년 이전 취득),상속,분양권(2021년 이전 취득),4,분양권 당첨일,1,상속개시일 ~ 양도예정일 기간이 2년미만일때만(731일 이하),
분양권(2021년 이전 취득),상속,분양권(2022년 이후 취득),입력불가,,0,,
분양권(2021년 이전 취득),상속,재건축전 주택,입력불가,,0,,
분양권(2021년 이전 취득),상속,조합원 입주권,입력불가,,0,,
분양권(2021년 이전 취득),상속,주거용 오피스텔,입력불가,,0,,
분양권(2021년 이전 취득),상속,주택,입력불가,,0,,
분양권(2021년 이전 취득),자가신축,분양권(2021년 이전 취득),입력불가,,0,,
분양권(2021년 이전 취득),자가신축,분양권(2022년 이후 취득),입력불가,,0,,
분양권(2021년 이전 취득),자가신축,재건축전 주택,입력불가,,0,,
분양권(2021년 이전 취득),자가신축,조합원 입주권,입력불가,,0,,
분양권(2021년 이전 취득),자가신축,주거용 오피스텔,입력불가,,0,,
분양권(2021년 이전 취득),자가신축,주택,입력불가,,0,,
분양권(2021년 이전 취득),증여,분양권(2021년 이전 취득),1,분양권 권리의무 승계일(명의변경일),0,,취득일
분양권(2021년 이전 취득),증여,분양권(2022년 이후 취득),입력불가,,0,,
분양권(2021년 이전 취득),증여,재건축전 주택,입력불가,,0,,
분양권(2021년 이전 취득),증여,조합원 입주권,입력불가,,0,,
분양권(2021년 이전 취득),증여,주거용 오피스텔,입력불가,,0,,
분양권(2021년 이전 취득),증여,주택,입력불가,,0,,
분양권(2022년 이후 취득),매매,분양권(2021년 이전 취득),입력불가,,0,,
분양권(2022년 이후 취득),매매,분양권(2022년 이후 취득),1,분양권 잔금청산일,0,승계 분양권,취득일
분양권(2022년 이후 취득),매매,분양권(2022년 이후 취득),1,분양권 당첨일,0,최초당첨 분양권,취득일
분양권(2022년 이후 취득),매매,재건축전 주택,입력불가,,0,,
분양권(2022년 이후 취득),매매,조합원 입주권,입력불가,,0,,
분양권(2022년 이후 취득),매매,주거용 오피스텔,입력불가,,0,,
분양권(2022년 이후 취득),매매,주택,입력불가,,0,,
분양권(2022년 이후 취득),상속,분양권(2021년 이전 취득),입력불가,,0,,
분양권(2022년 이후 취득),상속,분양권(2022년 이후 취득),1,상속개시일(승계분양권),0,승계분양권,취득일
분양권(2022년 이후 취득),상속,분양권(2022년 이후 취득),1,상속개시일(최초당첨 분양권),0,최초당첨 분양권,취득일
